year,fossilco2 (gt/y),otherco2 (gt/y),ch4 (mt/y),n2o (mt/y)
1765,0.003,0,0,0
1766,0.003,0.0053382963,1.9632619,0.0051910845
1767,0.003,0.010676593,2.4364481,0.010116813
1768,0.003,0.016014889,2.911105,0.015042803
1769,0.003,0.021353185,3.3872782,0.019969063
1770,0.003,0.026691482,3.8650146,0.024895601
1771,0.0039999999,0.032029778,4.3443625,0.029822427
1772,0.0039999999,0.037368074,4.8253718,0.034749548
1773,0.0039999999,0.042706371,5.3080938,0.039676975
1774,0.0039999999,0.048044667,5.7925816,0.044604715
1775,0.0039999999,0.053382963,6.2788896,0.04953278
1776,0.0039999999,0.058721259,6.7670743,0.05446118
1777,0.0039999999,0.064059556,7.2571937,0.059389923
1778,0.0039999999,0.069397852,7.7493076,0.064319022
1779,0.0039999999,0.074736148,8.2434776,0.069248487
1780,0.0039999999,0.080074445,8.7397674,0.07417833
1781,0.0049999999,0.085412741,9.2382426,0.079108562
1782,0.0049999999,0.090751037,9.7389706,0.084039195
1783,0.0049999999,0.096089334,10.242021,0.088970241
1784,0.0049999999,0.10142763,10.747466,0.093901714
1785,0.0049999999,0.10676593,11.25538,0.098833627
1786,0.0049999999,0.11210422,11.765839,0.10376599
1787,0.0049999999,0.11744252,12.278921,0.10869883
1788,0.0049999999,0.12278082,12.794707,0.11363214
1789,0.0049999999,0.12811911,13.313282,0.11856595
1790,0.0049999999,0.13345741,13.834732,0.12350027
1791,0.0059999999,0.1387957,14.359145,0.12843512
1792,0.0059999999,0.144134,14.886613,0.13337052
1793,0.0059999999,0.1494723,15.417231,0.13830648
1794,0.0059999999,0.15481059,15.951096,0.14324301
1795,0.0059999999,0.16014889,16.488308,0.14818014
1796,0.0059999999,0.16548719,17.028971,0.15311788
1797,0.0069999999,0.17082548,17.573192,0.15805626
1798,0.0069999999,0.17616378,18.121081,0.16299529
1799,0.0069999999,0.18150207,18.672751,0.167935
1800,0.0079999999,0.18684037,19.228319,0.1728754
1801,0.0079999999,0.19217867,19.787906,0.17781651
1802,0.0099999999,0.19751696,20.351635,0.18275836
1803,0.0089999999,0.20285526,20.919636,0.18770098
1804,0.0089999999,0.20819356,21.49204,0.19264437
1805,0.0089999999,0.21353185,22.068984,0.19758858
1806,0.0099999998,0.21887015,22.650607,0.20253362
1807,0.0099999999,0.22420845,23.237055,0.20747952
1808,0.0099999999,0.22954674,23.828476,0.2124263
1809,0.0099999999,0.23488504,24.425025,0.217374
1810,0.0099999999,0.24022333,25.02686,0.22232264
1811,0.011,0.24556163,25.634145,0.22727225
1812,0.011,0.25089993,26.247048,0.23222285
1813,0.011,0.25623822,26.865743,0.2371745
1814,0.011,0.26157652,27.490408,0.2421272
1815,0.012,0.26691482,28.12123,0.247081
1816,0.013,0.27225311,28.758398,0.25203593
1817,0.014,0.27759141,29.402108,0.25699203
1818,0.014,0.2829297,30.052563,0.26194932
1819,0.014,0.288268,30.709971,0.26690786
1820,0.014,0.2936063,31.374548,0.27186767
1821,0.014,0.29894459,32.046514,0.2768288
1822,0.015,0.30428289,32.7261,0.28179128
1823,0.016,0.30962119,33.413539,0.28675516
1824,0.016,0.31495948,34.109076,0.29172049
1825,0.017,0.32029778,34.81296,0.2966873
1826,0.017,0.32563608,35.52545,0.30165564
1827,0.018,0.33097437,36.246813,0.30662557
1828,0.018,0.33631267,36.977321,0.31159712
1829,0.018,0.34165096,37.717259,0.31657035
1830,0.024,0.34698926,38.466917,0.32154532
1831,0.023,0.35232756,39.226597,0.32652206
1832,0.023,0.35766585,39.996609,0.33150065
1833,0.024,0.36300415,40.777271,0.33648114
1834,0.024,0.36834245,41.568914,0.34146358
1835,0.025,0.37368074,42.371876,0.34644803
1836,0.029,0.37901904,43.186509,0.35143456
1837,0.029,0.38435733,44.013173,0.35642324
1838,0.03,0.38969563,44.85224,0.36141413
1839,0.031,0.39503393,45.704093,0.36640729
1840,0.032999999,0.40037222,46.569129,0.3714028
1841,0.033999999,0.40571052,47.447755,0.37640073
1842,0.035999999,0.41104882,48.34039,0.38140115
1843,0.036999999,0.41638711,49.247469,0.38640415
1844,0.038999999,0.42172541,50.169439,0.3914098
1845,0.042999999,0.42706371,51.106759,0.39641818
1846,0.042999999,0.432402,52.059904,0.40142938
1847,0.045999999,0.4377403,53.029365,0.40644349
1848,0.046999999,0.44307859,54.015644,0.41146059
1849,0.049999999,0.44841689,55.019264,0.41648078
1850,0.053999999,0.45375519,56.040759,0.42150415
1851,0.053999999,0.44678569,56.46132,0.42740096
1852,0.056999999,0.49862282,56.88188,0.46466062
1853,0.058999999,0.49735449,57.302441,0.46477417
1854,0.068999999,0.49581708,57.723001,0.46443647
1855,0.070999999,0.49367925,58.143562,0.46327909
1856,0.075999999,0.49893488,58.564122,0.46729312
1857,0.076999999,0.504232,58.984683,0.47126447
1858,0.077999999,0.50923298,59.405243,0.47503119
1859,0.082999999,0.51425389,59.825804,0.47876627
1860,0.090999999,0.51896689,60.246364,0.48257672
1861,0.094999998,0.5282236,59.614468,0.50499476
1862,0.096999998,0.47371663,58.982573,0.47111281
1863,0.104,0.47374912,58.350677,0.47444935
1864,0.112,0.47413825,57.718781,0.47785801
1865,0.119,0.47479536,57.086885,0.48144966
1866,0.122,0.47491218,56.45499,0.48420454
1867,0.13022269,0.47338353,55.823094,0.48472337
1868,0.13525196,0.47198274,55.191198,0.48595323
1869,0.14228123,0.47048522,54.559303,0.48686155
1870,0.14731051,0.46933399,53.927407,0.48774355
1871,0.15633978,0.48732546,56.683869,0.58501628
1872,0.17336905,0.56696435,59.440331,0.66673981
1873,0.18439832,0.57690133,62.196793,0.69637076
1874,0.1744276,0.58328394,64.953255,0.7087503
1875,0.18845687,0.5899696,67.709717,0.72034342
1876,0.19148614,0.59639187,70.46618,0.74524338
1877,0.19451541,0.60262312,73.222642,0.75633197
1878,0.196,0.6090507,75.979104,0.7660459
1879,0.21,0.61534752,78.735566,0.77491118
1880,0.236,0.62124317,81.492028,0.78412129
1881,0.243,0.64887292,84.359461,0.81157848
1882,0.256,0.60466403,87.226893,0.78526034
1883,0.272,0.60851762,90.094326,0.79255607
1884,0.275,0.61212775,92.961758,0.7987505
1885,0.27699999,0.61523611,95.829191,0.80453383
1886,0.28099999,0.61714413,98.696624,0.82619361
1887,0.295,0.61616314,101.56406,0.83219647
1888,0.32699999,0.61473356,104.43149,0.83705812
1889,0.32699999,0.6132002,107.29892,0.84143987
1890,0.35599999,0.61175412,110.16635,0.84552548
1891,0.37199999,0.61024855,111.52362,0.85098169
1892,0.37399999,0.62319119,112.88089,0.85741997
1893,0.36999999,0.62440331,114.23816,0.86475824
1894,0.38299999,0.64036719,115.59543,0.87294487
1895,0.40599999,0.64441851,116.9527,0.88188195
1896,0.41899999,0.6462784,118.30997,0.89141802
1897,0.43999999,0.64956412,119.66724,0.90140157
1898,0.46499999,0.65100098,121.02451,0.91168111
1899,0.50699999,0.65220446,122.38178,0.92210515
1900,0.53399999,0.65320628,123.73905,0.9325222
1901,0.55199999,0.70294318,124.8415,0.9446669
1902,0.56599999,0.70297364,125.94396,0.95993065
1903,0.61699999,0.72667096,127.04642,0.97764708
1904,0.62399999,0.74829324,128.14887,0.99722904
1905,0.66299999,0.76981521,129.25133,1.0181293
1906,0.70699999,0.79653384,130.35378,1.0397413
1907,0.78399999,0.80376274,131.45624,1.0614586
1908,0.74999999,0.81141278,132.5587,1.0826746
1909,0.78499999,0.81737807,133.66115,1.1027829
1910,0.81899999,0.82198169,134.76361,1.121177
1911,0.83599999,0.77889405,135.96943,1.1389722
1912,0.87899999,0.74784844,137.17525,1.1575596
1913,0.94299999,0.72297977,138.38107,1.1767464
1914,0.84999999,0.71479152,139.5869,1.1962611
1915,0.83799999,0.70574964,140.79272,1.2158443
1916,0.90099999,0.70811648,141.99854,1.2353217
1917,0.95499999,0.7111963,143.20436,1.254519
1918,0.93599999,0.71430427,144.41019,1.2732618
1919,0.80599999,0.71965435,145.61601,1.2913759
1920,0.93199999,0.72128338,146.82183,1.3086869
1921,0.80299999,0.75741661,147.86155,1.3257924
1922,0.84499999,0.7479409,148.90128,1.343275
1923,0.96999999,0.75328819,149.941,1.3609385
1924,0.96299999,0.75686059,150.98072,1.3796194
1925,0.97499999,0.75808855,152.02045,1.3998974
1926,0.98299999,0.76148327,153.06017,1.4211909
1927,1.062,0.79718283,154.09989,1.4429184
1928,1.065,0.79967141,155.13962,1.4644982
1929,1.145,0.82422601,156.17934,1.4853488
1930,1.053,0.89587975,157.21906,1.5048887
1931,0.93999999,0.90334082,158.34545,1.5226236
1932,0.84699999,0.81222597,159.47183,1.5385172
1933,0.89299999,0.80858849,160.59821,1.5526746
1934,0.97299999,0.79686256,161.7246,1.5653127
1935,1.027,0.79471575,162.85098,1.5771213
1936,1.13,0.80129993,163.97736,1.5889151
1937,1.209,0.77969902,165.10375,1.6015088
1938,1.142,0.78188222,166.23013,1.615717
1939,1.192,0.77944376,167.35651,1.6323545
1940,1.299,0.76683237,168.4829,1.6522358
1941,1.334,0.75036458,170.03046,1.7002044
1942,1.342,0.7690497,171.57803,1.7938613
1943,1.391,0.7637656,173.12559,1.9231582
1944,1.383,0.76839864,174.67315,2.0866797
1945,1.16,0.76914739,176.22072,2.280402
1946,1.238,0.84214892,177.76828,2.4903635
1947,1.392,0.87017994,179.31584,2.7026031
1948,1.469,0.87513044,180.86341,2.9031595
1949,1.419,0.88212641,182.41097,3.0780722
1950,1.63,0.89233465,183.95853,3.2133815
1951,1.768,1.0885201,189.11003,3.3186021
1952,1.796,1.1096378,194.26153,3.4111061
1953,1.841,1.1045171,199.41303,3.4887221
1954,1.865,1.1521416,204.56453,3.5543489
1955,2.043,1.1911855,209.71603,3.614111
1956,2.178,1.2446883,214.86753,3.6706801
1957,2.27,1.2718718,220.01902,3.7267318
1958,2.33,1.3195817,225.17052,3.7849451
1959,2.462,1.2035957,230.32202,3.8480013
1960,2.577,1.1922833,235.47352,3.9185827
1961,2.594,1.2443218,238.52217,4.0240052
1962,2.7,1.2355717,241.57083,4.1836477
1963,2.848,1.2442947,244.61948,4.3883117
1964,3.008,1.2515879,247.66813,4.6374693
1965,3.145,1.2642558,250.71679,4.8968181
1966,3.305,1.2936968,253.76544,5.195583
1967,3.411,1.2976254,256.81409,5.457478
1968,3.588,1.2352028,259.86274,5.619744
1969,3.8,1.2383879,262.9114,5.784831
1970,4.076,1.1971129,265.96005,5.9368752
1971,4.231,1.0708913,270.02505,5.6049759
1972,4.399,1.0470621,274.09004,5.9181309
1973,4.6349999,1.0330987,278.15504,6.0449043
1974,4.644,1.0387371,282.22003,5.9406002
1975,4.615,1.0315876,286.28503,6.1409693
1976,4.883,1.0906077,290.35002,6.3042588
1977,5.029,1.0939874,294.41502,6.534405
1978,5.105,1.09037,298.48002,6.6193729
1979,5.387,1.0647127,302.54501,7.007773
1980,5.332,1.0252096,306.61001,7.0613923
1981,5.168,1.0448621,310.01251,6.8417522
1982,5.127,1.1904055,313.415,7.1189858
1983,5.11,1.2255201,316.8175,7.2168971
1984,5.29,1.2600833,320.22,7.0481314
1985,5.444,1.2753449,323.6225,7.0169243
1986,5.61,1.2872023,327.025,7.0704917
1987,5.753,1.2940086,330.42749,7.4616728
1988,5.964,1.3167248,333.82999,7.2025077
1989,6.089,1.3236436,337.23249,7.3310397
1990,6.144,1.3194833,340.63499,7.5856812
1991,6.235,1.3809799,336.59218,7.4023631
1992,6.118,1.3035304,332.54937,7.7989323
1993,6.124,1.2981006,328.50656,7.3131034
1994,6.242,1.2895956,324.46375,7.5072841
1995,6.372,1.2750104,320.42094,7.6191035
1996,6.51,1.2511025,316.37814,7.6520638
1997,6.619,1.2181397,312.33533,7.9097526
1998,6.588,1.2148431,308.29252,7.8957263
1999,6.569,1.1827892,304.24971,7.5269849
2000,6.735,1.1488,300.2069,7.4566
2001,6.8959,1.132,303.4092,7.503
2002,6.949,1.2317,306.5788,7.5487
2003,7.286,1.2257,309.7164,7.5942
2004,7.6719,1.2429,312.824,7.6394
2005,7.971,1.1955,315.9027,7.6841
2006,8.1427,1.1676,320.0614,7.715
2007,8.3136,1.14,324.2127,7.7459
2008,8.4828667,1.1121667,328.34943,7.7766333
2009,8.6521333,1.0843333,332.48617,7.8073667
2010,8.8214,1.0565,336.6229,7.8381
2011,8.86803,1.04813,328.6374,7.79063
2012,8.91466,1.03976,320.6519,7.74316
2013,8.96129,1.03139,312.6664,7.69569
2014,9.00792,1.02302,304.6809,7.64822
2015,9.05455,1.01465,296.6954,7.60075
2016,9.10118,1.00628,288.7099,7.55328
2017,9.14781,0.99791,280.7244,7.50581
2018,9.19444,0.98954,272.7389,7.45834
2019,9.24107,0.98117,264.7534,7.41087
2020,9.2877,0.9728,256.7679,7.3634
2021,9.07462,0.95441,254.65433,7.35756
2022,8.86154,0.93602,252.54076,7.35172
2023,8.64846,0.91763,250.42719,7.34588
2024,8.43538,0.89924,248.31362,7.34004
2025,8.2223,0.88085,246.20005,7.3342
2026,8.00922,0.86246,244.08648,7.32836
2027,7.79614,0.84407,241.97291,7.32252
2028,7.58306,0.82568,239.85934,7.31668
2029,7.36998,0.80729,237.74577,7.31084
2030,7.1569,0.7889,235.6322,7.305
2031,6.8947,0.75891,234.57183,7.29221
2032,6.6325,0.72892,233.51146,7.27942
2033,6.3703,0.69893,232.45109,7.26663
2034,6.1081,0.66894,231.39072,7.25384
2035,5.8459,0.63895,230.33035,7.24105
2036,5.5837,0.60896,229.26998,7.22826
2037,5.3215,0.57897,228.20961,7.21547
2038,5.0593,0.54898,227.14924,7.20268
2039,4.7971,0.51899,226.08887,7.18989
2040,4.5349,0.489,225.0285,7.1771
2041,4.39997,0.46022,221.45546,7.08404
2042,4.26504,0.43144,217.88242,6.99098
2043,4.13011,0.40266,214.30938,6.89792
2044,3.99518,0.37388,210.73634,6.80486
2045,3.86025,0.3451,207.1633,6.7118
2046,3.72532,0.31632,203.59026,6.61874
2047,3.59039,0.28754,200.01722,6.52568
2048,3.45546,0.25876,196.44418,6.43262
2049,3.32053,0.22998,192.87114,6.33956
2050,3.1856,0.2012,189.2981,6.2465
2051,3.00896,0.2426,187.01509,6.19366
2052,2.83232,0.284,184.73208,6.14082
2053,2.65568,0.3254,182.44907,6.08798
2054,2.47904,0.3668,180.16606,6.03514
2055,2.3024,0.4082,177.88305,5.9823
2056,2.12576,0.4496,175.60004,5.92946
2057,1.94912,0.491,173.31703,5.87662
2058,1.77248,0.5324,171.03402,5.82378
2059,1.59584,0.5738,168.75101,5.77094
2060,1.4192,0.6152,166.468,5.7181
2061,1.28885,0.6075,165.95204,5.7204
2062,1.1585,0.5998,165.43608,5.7227
2063,1.02815,0.5921,164.92012,5.725
2064,0.8978,0.5844,164.40416,5.7273
2065,0.76745,0.5767,163.8882,5.7296
2066,0.6371,0.569,163.37224,5.7319
2067,0.50675,0.5613,162.85628,5.7342
2068,0.3764,0.5536,162.34032,5.7365
2069,0.24605,0.5459,161.82436,5.7388
2070,0.1157,0.5382,161.3084,5.7411
2071,0.06083,0.53938,160.68516,5.72833
2072,0.00596,0.54056,160.06192,5.71556
2073,-0.04891,0.54174,159.43868,5.70279
2074,-0.10378,0.54292,158.81544,5.69002
2075,-0.15865,0.5441,158.1922,5.67725
2076,-0.21352,0.54528,157.56896,5.66448
2077,-0.26839,0.54646,156.94572,5.65171
2078,-0.32326,0.54764,156.32248,5.63894
2079,-0.37813,0.54882,155.69924,5.62617
2080,-0.433,0.55,155.076,5.6134
2081,-0.47674,0.55524,154.41227,5.59813
2082,-0.52048,0.56048,153.74854,5.58286
2083,-0.56422,0.56572,153.08481,5.56759
2084,-0.60796,0.57096,152.42108,5.55232
2085,-0.6517,0.5762,151.75735,5.53705
2086,-0.69544,0.58144,151.09362,5.52178
2087,-0.73918,0.58668,150.42989,5.50651
2088,-0.78292,0.59192,149.76616,5.49124
2089,-0.82666,0.59716,149.10243,5.47597
2090,-0.8704,0.6024,148.4387,5.4607
2091,-0.87644,0.59329,147.8001,5.44286
2092,-0.88248,0.58418,147.1615,5.42502
2093,-0.88852,0.57507,146.5229,5.40718
2094,-0.89456,0.56596,145.8843,5.38934
2095,-0.9006,0.55685,145.2457,5.3715
2096,-0.90664,0.54774,144.6071,5.35366
2097,-0.91268,0.53863,143.9685,5.33582
2098,-0.91872,0.52952,143.3299,5.31798
2099,-0.92476,0.52041,142.6913,5.30014
2100,-0.9308,0.5113,142.0527,5.2823